Gene1,Gene2
ARID1A,KDM3A
ARID1A,DIDO1
ARID1A,MSH6
ARID1A,SFI1
ARID1A,RIF1
ARID1A,IL33
ARID1A,TRP53BP1
ARID1A,MTF2
ARID1A,LRPAP1
ARID1A,ETV1
ARID1A,GSTA4
ARID1A,FUBP3
ARID1A,ZFP42
ARID1A,UPP1
ARID1A,RBM14
ARID1A,SPP1
ARID1A,ANKRD6
ARID1A,LAMC1
ARID1A,FRRS1
ARID1A,SHROOM3
ARID1A,PLOD1
ARID1A,CCN2
ARID1A,NR5A2
ARID1A,SLC7A3
ARID1A,PATJ
ARID1A,ZSCAN10
ARID1A,ZFP148
ARID1A,CHD7
ARID1A,HSPB1
ARID1A,BCAM
ARID1A,SPRY4
ARID1A,RBPJ
ARID1A,LAMB2
ARID1A,HMCES
ARID1A,MME
ARID1A,TCF7L2
ARID1A,TSPAN9
ARID1A,GNPDA1
ARID1A,TCF4
ARID1A,IFITM1
ARID1A,AIP
ARID1A,DDB2
ARID1A,ASH2L
ARID1A,MBD2
ARID1A,CALD1
ARID1A,LEFTY1
ARID1A,NCOA3
ARID1A,PHF1
ARID1A,KHDRBS1
ARID1A,JUND
ARID1A,PAWR
ARID1A,SIX5
ARID1A,BARD1
ARID1A,FABP3
ARID1A,RNF2
ARID1A,CTSD
ARID1A,SMARCA5
ARID1A,2200002D01RIK
ARID1A,TPD52
ARID1A,PA2G4
ARID1A,PARVB
ARID1A,PDK1
ARID1A,SERPINH1
ARID1A,ARHGAP29
ARID1A,LDB1
ARID1A,ETV5
ARID1A,SREBF1
ARID1A,LOXL2
ARID1A,EP400
ARID1A,WWTR1
ARID1A,DDB1
ARID1A,BTG2
ARID1A,FOXH1
ARID1A,CST3
ARID1A,ABTB1
ARID1A,HTT
ARID1A,CRIP2
ARID1A,CDKN1A
ARID1A,TFRC
ARID1A,TAX1BP3
ARID1A,PTPN14
ARID1A,GABBR1
ARID1A,MDM2
ARID1A,DDIT3
ARID1A,KLF3
ARID1A,MYMX
ARID1A,IRF1
ARID1A,PHC1
ARID1A,POU2F1
ARID1A,TUBB2B
ARID1A,APOE
ARID1A,NFE2L2
ARID1A,HMGXB4
ARID1A,PELP1
ARID1A,RBFOX2
ARID1A,NR1D2
ARID1A,BRPF1
ARID1A,CSRP2
ARID1A,AMPD2
ARID1A,ASXL1
ARID1A,SND1
ARID1A,ECT2
ARID1A,NFE2L1
ARID1A,HNRNPD
ARID1A,MLXIP
ARID1A,PIAS1
ARID1A,HMGA1
ARID1A,SERTAD2
BAZ1A,SFI1
BTAF1,SATB1
BTAF1,HMGXB4
BTAF1,HIST1H2BK
BTAF1,CUX2
BTAF1,SFI1
BTAF1,CUX1
BTAF1,SIN3B
BTAF1,CITED2
BTAF1,ZFP219
BTAF1,MTF2
BTAF1,BNIP3
BTAF1,MAML3
BTAF1,FUS
BTAF1,ATF4
BTAF1,ASXL1
BTAF1,RBPJ
BTAF1,PCBP2
BTAF1,CTNNB1
BTAF1,TAF5
BTAF1,E2F1
BTAF1,MATR3
