,Gene,index
0,PDCD2,0
1,MBTD1,1
2,SMAD2,2
3,ARID3B,3
4,HOMER1,4
5,GYPE,5
6,ZBTB2,6
7,MRS2,7
8,ISCA1,8
9,AMN1,9
10,ITGA4,10
11,CYP1B1,11
12,POLR2A,12
13,IGDCC4,13
14,AIF1L,14
15,NIPSNAP1,15
16,VHL,16
17,KLHL6,17
18,NR3C1,18
19,SECISBP2L,19
20,SH3BP5,20
21,ARID3A,21
22,ASNS,22
23,ARHGAP28,23
24,TJP2,24
25,UCHL3,25
26,RIN2,26
27,URB2,27
28,DNAJC16,28
29,RAX2,29
30,HIF1A,30
31,PHC1,31
32,DNAJB14,32
33,PDGFRA,33
34,PLK2,34
35,PRMT3,35
36,TRPC4,36
37,MEX3C,37
38,CDC25C,38
39,REL,39
40,CHD9,40
41,PBXIP1,41
42,NIN,42
43,EXOSC3,43
44,ZDHHC2,44
45,TRIB1,45
46,PLOD2,46
47,EPHA4,47
48,PRSS23,48
49,SEPHS1,49
50,GNG11,50
51,APBB1,51
52,ZNF24,52
53,C11orf82,53
54,CHEK2,54
55,TMEM50B,55
56,NEDD4,56
57,NR2C1,57
58,MLL3,58
59,TTN,59
60,IFT80,60
61,SRSF10,61
62,SFPQ,62
63,KLF7,63
64,CCDC80,64
65,SLC39A7,65
66,TSPAN13,66
67,MAPKAPK3,67
68,RAI14,68
69,TBC1D4,69
70,TFAP2A,70
71,ERCC-00009,71
72,CADM1,72
73,RRN3,73
74,PIK3R5,74
75,WDR12,75
76,EDEM3,76
77,ACAD8,77
78,TGFB1I1,78
79,CCDC50,79
80,YBX1,80
81,OAS1,81
82,CLU,82
83,ESRRG,83
84,DEK,84
85,TBX20,85
86,ATP11C,86
87,STX6,87
88,SLC7A5,88
89,PPP1R9A,89
90,PCNA,90
91,LHFP,91
92,CLDN11,92
93,HESX1,93
94,LRRC16A,94
95,PHF21A,95
96,IFT81,96
97,RAD54L,97
98,SEPP1,98
99,ZNF471,99
100,NRP1,100
101,CDH11,101
102,NAGA,102
103,EGF,103
104,HIAT1,104
105,SYT1,105
106,MEPE,106
107,SMAD5,107
108,ZHX3,108
109,SEMA6A,109
110,STAT3,110
111,STC1,111
112,SEMA3E,112
113,KDR,113
114,IMPAD1,114
115,RNF14,115
116,RAD51AP1,116
117,UNC13B,117
118,SLFN5,118
119,NONO,119
120,PRTG,120
121,MAPRE2,121
122,E2F7,122
123,KIAA1324L,123
124,SLC16A2,124
125,CENPK,125
126,DENND1A,126
127,RBBP4,127
128,FAM126B,128
129,UBTF,129
130,FAM126A,130
131,BTF3,131
132,TRIP6,132
133,MEIS1,133
134,ZFC3H1,134
135,BLM,135
