Gene1,Gene2
ARID1A,PIPOX
ARID1A,KDM3A
ARID1A,DIDO1
ARID1A,MSH6
ARID1A,STMN1
ARID1A,FBXO15
ARID1A,SFI1
ARID1A,RIF1
ARID1A,DENND2C
ARID1A,IL33
ARID1A,TRP53BP1
ARID1A,MTF2
ARID1A,LRPAP1
ARID1A,ACP6
ARID1A,ETV1
ARID1A,GSTA4
ARID1A,FUBP3
ARID1A,ZFP42
ARID1A,UPP1
ARID1A,RBM14
ARID1A,SPP1
ARID1A,ANKRD6
ARID1A,LAMC1
ARID1A,FRRS1
ARID1A,SHROOM3
ARID1A,PLOD1
ARID1A,CCN2
ARID1A,NR5A2
ARID1A,SLC7A3
ARID1A,SERPING1
ARID1A,PATJ
ARID1A,ST5
ARID1A,ZSCAN10
ARID1A,MFGE8
ARID1A,ZFP148
ARID1A,SLC1A5
ARID1A,ITGA9
ARID1A,CHD7
ARID1A,HSPB1
ARID1A,BCAM
ARID1A,SPRY4
ARID1A,RBPJ
ARID1A,LAMB2
ARID1A,ZFP980
ARID1A,HMCES
ARID1A,MME
ARID1A,TCF7L2
ARID1A,XAF1
ARID1A,TSPAN9
ARID1A,GNPDA1
ARID1A,TCF4
ARID1A,IFITM1
ARID1A,AIP
ARID1A,FBXO5
ARID1A,DDB2
ARID1A,ASH2L
ARID1A,MBD2
ARID1A,ITM2B
ARID1A,CALD1
ARID1A,LEFTY1
ARID1A,NCOA3
ARID1A,CTNNAL1
ARID1A,PHF1
ARID1A,KHDRBS1
ARID1A,JUND
ARID1A,PAWR
ARID1A,SIX5
ARID1A,BARD1
ARID1A,MDK
ARID1A,FABP3
ARID1A,RNF2
ARID1A,MSH2
ARID1A,CTSD
ARID1A,SMARCA5
ARID1A,2200002D01RIK
ARID1A,TRIM2
ARID1A,TPD52
ARID1A,PA2G4
ARID1A,PARVB
ARID1A,PDK1
ARID1A,SERPINH1
ARID1A,SET
ARID1A,PRDX1
ARID1A,POLE4
ARID1A,ARHGAP29
ARID1A,USP28
ARID1A,LDB1
ARID1A,ETV5
ARID1A,SREBF1
ARID1A,ASAH1
ARID1A,LOXL2
ARID1A,EP400
ARID1A,WWTR1
ARID1A,DDB1
ARID1A,BTG2
ARID1A,FOXH1
ARID1A,CST3
ARID1A,LDLR
ARID1A,ABTB1
ARID1A,HTT
ARID1A,CRIP2
ARID1A,CDKN1A
ARID1A,TFRC
ARID1A,SH3PXD2B
ARID1A,TAX1BP3
ARID1A,PTPN14
ARID1A,GABBR1
ARID1A,MDM2
ARID1A,DDIT3
ARID1A,LGALS3
ARID1A,KLF3
ARID1A,ATG16L2
ARID1A,SINHCAF
ARID1A,MYMX
ARID1A,IRF1
ARID1A,PHC1
ARID1A,POU2F1
ARID1A,TUBB2B
ARID1A,APOE
ARID1A,NFE2L2
ARID1A,SMS
ARID1A,HMGXB4
ARID1A,PELP1
ARID1A,RBFOX2
ARID1A,NR1D2
ARID1A,BRPF1
ARID1A,FAM168A
ARID1A,CSRP2
ARID1A,AMPD2
ARID1A,ASXL1
ARID1A,SND1
ARID1A,FHOD1
ARID1A,BSG
ARID1A,ECT2
ARID1A,USP3
ARID1A,NFE2L1
ARID1A,HNRNPD
ARID1A,MLXIP
ARID1A,CLTC
ARID1A,PIAS1
ARID1A,HMGA1
ARID1A,SERTAD2
BAZ1A,SFI1
BTAF1,USP3
BTAF1,COLGALT1
BTAF1,SATB1
