,TF,Target
0,46,119
1,46,723
2,46,147
3,46,187
4,46,559
5,46,685
6,46,724
7,46,752
8,46,418
9,46,507
10,46,750
11,46,793
12,46,758
13,46,751
14,46,236
15,46,540
16,46,976
17,46,473
18,46,249
19,46,1029
20,46,828
21,46,163
22,46,127
23,46,797
24,46,81
25,46,979
26,46,878
27,46,1041
28,46,1062
29,46,318
30,46,883
31,46,1094
32,46,90
33,46,478
34,46,210
35,46,658
36,46,1101
37,46,420
38,46,547
39,46,433
40,46,465
41,46,622
42,46,929
43,46,199
44,46,711
45,46,289
46,46,121
47,46,1108
48,46,280
49,46,804
50,46,814
51,46,276
52,46,76
53,46,886
54,46,575
55,46,232
56,46,726
57,46,1032
58,46,440
59,46,1052
60,46,28
61,46,562
62,46,587
63,46,978
64,46,432
65,46,1044
66,46,947
67,46,702
68,46,247
69,46,165
70,46,573
71,46,2
72,46,673
73,46,892
74,46,302
75,46,982
76,46,77
77,46,867
78,46,356
79,46,618
80,46,1110
81,46,1118
82,46,516
83,46,571
84,46,597
85,46,45
86,46,78
87,46,926
88,46,729
89,46,1058
90,46,484
91,46,1064
92,46,423
93,46,295
94,46,765
95,46,340
96,46,183
97,46,69
98,46,687
99,46,990
100,46,663
101,46,101
102,46,536
103,46,509
104,46,1117
105,46,1097
106,46,706
107,46,719
108,57,187
109,835,259
110,835,423
111,835,374
112,835,737
113,835,187
114,835,63
115,835,162
116,835,358
117,835,208
118,835,752
119,835,333
120,835,228
121,835,564
122,835,202
123,835,990
124,835,1094
125,835,361
126,835,238
127,835,398
128,835,911
129,835,213
130,835,601
131,835,356
132,835,951
133,835,708
134,835,123
135,835,726
136,835,915
137,835,312
138,835,998
139,835,40
140,835,742
141,835,222
142,835,839
143,835,223
144,835,158
145,835,377
146,835,1119
147,835,723
148,835,937
149,835,110
150,835,313
151,835,1002
152,835,929
153,835,247
154,835,757
155,835,513
156,835,11
157,835,1074
158,835,435
159,835,363
160,835,1102
161,835,626
162,835,286
163,835,416
164,835,991
165,835,521
166,835,392
167,835,253
168,835,292
169,835,71
170,835,722
171,835,122
172,835,1106
173,835,431
174,835,932
175,835,617
176,835,1020
177,835,366
178,835,873
179,835,733
180,835,440
181,835,186
182,835,562
183,835,477
184,835,901
185,835,926
186,835,634
187,835,1029
188,835,451
189,835,46
190,835,254
191,835,135
192,835,920
193,835,887
194,835,10
195,835,542
196,835,42
197,835,884
198,835,506
199,835,20
200,835,572
201,835,81
202,835,296
203,835,672
204,835,734
205,835,103
206,835,1037
207,835,379
208,835,1050
209,835,9
210,835,896
211,835,326
212,835,1024
213,835,994
214,835,215
215,835,996
216,835,322
217,835,1072
218,835,849
219,835,70
220,835,878
221,835,793
222,835,652
223,835,548
224,835,550
225,835,1117
226,835,1005
227,835,112
228,835,962
229,835,295
230,835,930
231,835,478
232,835,25
233,835,327
234,835,397
235,835,156
236,835,695
237,835,1111
238,835,53
239,835,371
240,835,978
241,835,719
242,835,1067
243,835,334
244,835,714
245,835,961
246,835,168
247,835,864
248,835,565
249,835,473
250,835,610
251,835,795
252,835,154
253,835,739
254,835,885
255,835,834
256,835,1101
257,835,544
258,835,486
259,835,502
260,835,989
261,835,439
262,835,460
263,835,923
264,835,619
265,835,694
266,835,770
267,835,575
268,835,36
269,835,727
270,835,701
271,835,1028
272,835,1044
273,835,925
274,835,912
275,835,771
276,835,224
277,835,820
278,835,453
279,835,438
280,835,635
281,835,78
282,835,592
283,835,781
284,835,518
285,835,419
286,835,24
287,835,131
288,835,459
289,835,175
290,835,86
291,835,756
292,835,385
293,835,653
294,835,822
295,835,457
296,835,462
297,835,138
298,835,124
299,835,1011
300,835,436
301,835,1084
302,835,559
303,835,557
304,835,137
305,835,239
306,835,765
307,835,1
308,835,1109
309,835,664
310,835,1071
311,835,149
312,835,151
313,835,877
314,835,56
315,835,689
316,835,576
317,835,1034
318,835,677
319,835,761
320,835,386
321,835,986
322,835,775
323,835,323
324,835,275
325,835,888
326,835,516
327,835,508
328,835,15
329,835,862
330,835,1033
331,835,340
332,835,760
333,835,84
334,835,403
335,835,833
336,835,801
337,835,420
338,835,282
339,835,590
340,835,534
341,835,349
342,835,965
343,835,480
344,835,1097
345,835,180
346,835,798
347,835,380
348,835,428
349,835,147
350,835,843
351,835,605
352,835,818
353,835,93
354,835,679
355,835,568
356,835,210
357,835,712
358,835,121
359,835,177
360,835,630
361,835,777
362,835,266
363,835,1065
364,835,271
365,835,1073
366,835,773
367,835,384
368,835,285
369,835,260
370,835,136
371,835,432
372,835,927
373,835,471
374,835,669
375,835,494
376,835,944
377,835,698
378,835,691
379,835,148
380,835,31
381,835,350
382,835,493
383,835,448
384,835,298
385,835,90
386,835,413
387,835,938
388,835,621
389,835,106
390,835,212
391,835,799
392,835,1022
393,835,424
394,835,536
395,835,26
396,835,405
397,835,246
398,835,306
399,835,255
400,835,1083
401,835,1012
402,835,489
403,835,465
404,835,233
405,835,597
406,835,749
407,835,776
408,835,496
409,835,411
410,835,1003
411,835,443
412,835,1064
413,835,510
414,835,578
415,835,183
416,835,1077
417,835,119
418,835,602
419,835,936
420,835,344
421,835,114
422,835,409
423,835,893
424,835,934
425,835,1000
426,835,284
427,835,263
428,835,1039
429,835,399
430,835,283
431,835,485
432,835,976
433,835,381
434,835,982
435,835,1016
436,835,859
437,835,469
438,835,645
439,835,748
440,835,570
441,835,75
442,835,880
443,835,910
444,835,490
445,835,547
446,835,805
447,835,6
448,835,402
449,835,1062
450,835,975
451,835,504
452,835,88
453,835,957
454,835,318
455,835,724
456,835,262
457,835,378
458,835,1110
459,835,237
460,835,993
461,835,4
462,835,466
463,835,721
464,835,1042
465,835,92
466,835,467
467,835,852
468,835,475
469,835,17
470,835,303
471,835,308
472,835,204
473,835,866
474,835,905
475,835,2
476,835,789
477,835,790
478,835,899
479,835,769
480,835,341
481,835,594
482,835,134
483,835,1066
484,835,648
485,835,908
486,835,225
487,835,551
488,835,740
489,835,520
490,835,950
491,835,949
492,835,696
493,835,1086
494,835,383
495,835,281
496,835,1118
497,835,948
498,835,807
499,835,194
500,835,746
501,835,816
502,835,28
503,835,755
504,835,1070
505,835,368
506,835,261
507,835,444
508,835,539
509,835,142
510,835,217
511,835,34
512,835,546
513,835,280
514,835,61
515,835,738
516,835,82
517,835,921
518,835,812
519,835,779
520,835,176
521,835,243
522,835,931
523,835,837
524,835,869
525,835,310
526,835,980
527,835,821
528,835,831
529,835,681
530,835,646
531,835,608
532,835,330
533,835,447
534,835,941
535,835,452
536,835,552
537,835,476
538,835,302
539,835,130
540,835,577
541,835,1007
542,835,1008
543,835,670
544,835,832
545,835,671
546,835,272
547,835,554
548,835,753
549,835,1015
550,835,580
551,835,658
552,835,1092
553,835,900
554,835,639
555,835,804
556,835,57
557,835,141
558,835,928
559,835,500
560,835,189
561,835,792
562,835,611
563,835,947
564,835,1087
565,835,207
566,835,47
567,835,574
568,835,76
569,835,545
570,835,661
571,835,395
572,835,146
573,835,692
574,835,126
575,835,675
576,835,1014
577,835,1001
578,835,109
579,835,573
580,835,72
581,835,38
582,835,324
583,835,553
584,835,616
585,835,221
586,835,618
587,835,1055
588,835,65
589,835,343
590,835,841
